"VehicleId,TSPCode,TSPVehicleId,VIN,WeightClass"
"2226,TTC,33889,NULL,Truck"
"2227,TTC,33891,NULL,NULL"
"2228,TTC,37088,NULL,NULL"
"2229,TTC,45779,1FTNE24L23HC04991,Car"
"2230,TTC,45780,NULL,NULL"
"2231,TTC,45781,1FTNE24L58DA74381,Car"
"2232,TTC,45782,1FTNE24L75HA40544,Car"
"2233,TTC,45784,1FTSE34L94HB47151,Car"
"2234,TTC,45785,2FTRF17213CB01242,Car"
"2235,TTC,45786,1FTNE24W17DA82843,Car"
"2236,TTC,45787,1FDXF46P64EB68724,Truck"
"2237,TTC,45788,1FTNE24L35HA46728,Car"
"2238,TTC,45789,1GCZGFBA3A1172885,Car"
"2239,TTC,45790,1FDSF34555EB32885,Car"
"2240,TTC,45791,1FDWF34508ED64185,Car"
"2241,TTC,45793,1FTYR14UX6PA73226,Car"
"2242,TTC,45794,3FTZF17291MA65964,Car"
"2243,TTC,45795,1FDWF34536ED47023,Car"
"2244,TTC,45796,1FTYR10U86PA80732,Car"
"2245,TTC,45797,1FTNE24L58DB32280,Car"
"2246,TTC,45798,1FTNE24L58DB32277,Car"
"2247,TTC,51511,1FDWF34519EA15229,Car"
"2248,GEO,3,JTHBL46F485073467,Car"
"2249,GEO,4,1FAFP44664F148450,Car"
"2250,GEO,1,1D4RE2GGXBC746435,Car"
"2251,GEO,2,JN1CV6AR6CM672126,Car"
"2252,TTC,45783,1FDRF3E67BEB59362,Car"
"2253,TTC,45792,1FDRF3E60BEB54214,Car"
"2254,TTC,57592,1GTDT196858262220,Car"
"2255,TTC,57593,1FDRF3E67BEB59362,Car"
"2256,TTC,57594,1FTYR14U56PA03827,Car"
"2257,TTC,57595,2FTRF18W44CA07410,Car"
"2258,TTC,57596,1FTRX14W96FA47718,Car"
"2259,TTC,57597,1FTYR14U76PA04235,Car"
"2260,TTC,57598,1GTDS196368315734,Car"
"2261,TTC,59861,NULL,NULL"
"2262,TTC,59862,NULL,NULL"
"2263,TTC,59864,NULL,NULL"
"2264,TTC,59868,1FTSS34L04HA92775,Car"
"2265,TTC,59869,1FTSS34L84HB41611,Car"
"2266,TTC,59870,1FTSS34L88DB36065,Car"
"2267,TTC,59871,1FTSS34L64HB41610,Car"
"2268,TTC,59872,1FTSS34L08DA68781,Car"
"2269,TTC,59873,1FTSS34LX7DB25101,Car"
"2270,TTC,59874,1FTSS34L48DA72025,Car"
"2271,TTC,59875,1FTSS34L79DA20664,Car"
"2272,TTC,59876,1FTSS34L39DA22976,Car"
"2273,TTC,59877,1FTSS34L69DA21806,Car"
"2274,TTC,59878,1FTSS3EL1ADA89613,Car"
"2275,TTC,59879,1FTSS3EL7BDA98558,Car"
"2276,TTC,59881,1FTSS34L17DB25097,Car"
"2277,TTC,65547,NULL,NULL"
"2278,TTC,65548,NULL,NULL"
"2279,TTC,65549,NULL,NULL"
"2280,TTC,65550,NULL,NULL"
"2281,TTC,65551,NULL,NULL"
"2282,TTC,65552,NULL,NULL"
"2283,TTC,65553,NULL,NULL"
"2284,TTC,65554,NULL,NULL"
"2285,TTC,65555,NULL,NULL"
"2286,TTC,65556,NULL,NULL"
"2287,TTC,65557,NULL,NULL"
"2288,TTC,65558,NULL,NULL"
"2289,TTC,65559,NULL,NULL"
"2290,TTC,65560,NULL,NULL"
"2291,TTC,59863,NULL,NULL"
"2292,TTC,61673,1GCHG39UX51235898,Car"
"2293,TTC,61674,1GCHG39U031167186,Car"
"2294,TTC,61675,1GCFH154491143500,Car"
"2295,TTC,61676,JALE5B16157900652,Truck"
"2296,TTC,61677,1GCFH154891142723,Car"
"2297,TTC,61678,4KLB4B1UX4J800153,Truck"
"2298,TTC,61679,1GCHG39V641231404,NULL"
"2299,TTC,66351,1GCFH154X91142853,Car"
"2300,TTC,66353,1GCHG39V941231266,NULL"
"2301,TTC,66354,1GCHG39V571116118,Car"
"2302,TTC,66514,NULL,NULL"
"2303,TTC,66515,1GCGG25C091101605,Car"
"2304,TTC,66516,V49024,NULL"
"2305,TTC,66517,V49018,NULL"
"2306,TTC,66536,W99671,NULL"
"2307,TTC,66537,W99675,NULL"
"2308,TTC,66539,V84833,NULL"
"2309,TTC,66540,461444,NULL"
"2310,TTC,66541,V49017,NULL"
"2311,TTC,66542,1GCGG25C581181191,Car"
"2312,TTC,66543,1GCGG25V031230517,Car"
"2313,TTC,66544,1GCGG25V871194307,Car"
"2314,TTC,66545,1GCGG25V031230517,Car"
"2315,TTC,66546,W99673,NULL"
"2316,TTC,66547,V49018,NULL"
"2317,TTC,66548,N30588,NULL"
"2318,TTC,66549,1GCHG35V371132274,Car"
"2319,TTC,66550,W99672,NULL"
"2320,TTC,66552,1GCGG25V161116899,Car"
"2321,TTC,66553,1GCGG25C681108914,Car"
"2322,TTC,66554,W99676,NULL"
"2323,TTC,66555,M66124,NULL"
"2324,TTC,66556,1GCGG25V771120036,Car"
"2325,TTC,66557,N30583,NULL"
"2326,TTC,66558,A09787,NULL"
"2327,TTC,66559,AX9428,NULL"
"2328,TTC,66560,1GCGG25V231227828,Car"
"2329,TTC,66561,W99676,NULL"
"2330,TTC,66562,469746,NULL"
"2331,TTC,66563,1GCGG25V231227828,Car"
"2332,TTC,66564,NULL,NULL"
"2333,TTC,66565,1GCGG25V951178713,Car"
"2334,TTC,66566,AX2497,NULL"
"2335,TTC,66567,A14602,NULL"
"2336,TTC,66568,W63589,NULL"
"2337,TTC,66881,NULL,NULL"
"2338,TTC,66947,NULL,NULL"
"2339,TTC,66948,NULL,NULL"
"2340,TTC,67652,NULL,NULL"
"2341,TTC,67653,NULL,NULL"
"2342,TTC,67656,NULL,NULL"
"2343,TTC,67657,NULL,NULL"
"2344,TTC,67658,NULL,NULL"
"2345,TTC,67659,NULL,NULL"
"2346,TTC,67661,NULL,NULL"
"2347,TTC,67663,NULL,NULL"
"2348,TTC,67664,NULL,NULL"
"2349,TTC,67670,NULL,NULL"
"2350,TTC,67671,NULL,NULL"
"2351,TTC,67773,1FVABSAK73HK89169,Truck"
"2352,TTC,67774,1HTSDAAN2XH631456,Truck"
"2353,TTC,67775,1HTSCAAL6XH606268,Truck"
"2354,TTC,67776,1FVABSAK83HK56794,Truck"
"2355,TTC,67777,1HTSLAAM2YH302929,Truck"
"2356,TTC,67778,1FV6HLAC5WH919892,Truck"
"2357,TTC,67779,1HTSCAAM8YH215097,Truck"
"2358,TTC,67780,1FVABSAK63HL75430,Truck"
"2359,TTC,67781,1FVABSAK43HK56789,Truck"
"2360,TTC,67782,1HTSCAAM8YH215097,Truck"
"2361,TTC,67783,1FDWE35P04HA72869,Truck"
"2362,TTC,67784,1FVABSAK03HK56790,Truck"
"2363,TTC,67785,1HTSDAAL41H376914,Truck"
"2364,TTC,67786,1FVABSAK83HK56794,Truck"
"2365,TTC,67787,1FDWE35P04HA72869,Truck"
"2366,TTC,67788,1FVABSAK03HK56787,Truck"
"2367,TTC,67789,1FDWF36F91EC61195,Truck"
"2368,TTC,67790,1FVABSAK03HK56790,Truck"
"2369,TTC,67791,1HTSCAAL1YH301343,Truck"
"2370,TTC,67792,1FVACWDC16HV26834,Truck"
"2371,TTC,67793,1HTSDAAM5YH264240,Truck"
"2372,TTC,67794,1HTSCAAM8YH215097,Truck"
"2373,TTC,67795,1HTSDAAL41H376914,Truck"
"2374,TTC,67796,1FV6HLAC5WH919892,Truck"
"2375,TTC,67797,1HTSDAAM5YH264240,Truck"
"2376,TTC,67798,1HTSCAAM21H342854,Truck"
"2377,TTC,67799,1FVABSAK93HK56786,Truck"
"2378,TTC,67800,1HTSCAAL0YH252670,Truck"
"2379,TTC,67801,246614,NULL"
"2380,TTC,67802,1FDWF36F91EC61195,Truck"
"2381,TTC,67803,1HTSCAAL6XH606268,Truck"
"2382,TTC,67804,1FVABSAK63HK56793,Truck"
"2383,TTC,67805,1HTSCAAL1WH548181,Truck"
"2384,TTC,67806,1HTSCAAN6YH273668,Truck"
"2385,TTC,67807,1HTSCAAL0YH252670,Truck"
"2386,TTC,67808,1FVABSAK43HK56792,Truck"
"2387,TTC,67809,1HTSDAAM8YH264247,Truck"
"2388,TTC,67810,1FVABSAK43HK56792,Truck"
